Exposure Id,Type,Country,ISO3,Region,Name,Exposure Lower,Exposure Mean,Exposure Upper,Year,Pollutant,Pollutant Name,Region Name,Units
12391,country,Afghanistan,AFG,country,Afghanistan,21,49.3,92.9,1990,pm25,PM25,Country,µg/m3
12392,country,Afghanistan,AFG,country,Afghanistan,23.1,48.6,91.9,1995,pm25,PM25,Country,µg/m3
12393,country,Afghanistan,AFG,country,Afghanistan,26.5,51.6,92.7,2000,pm25,PM25,Country,µg/m3
12394,country,Afghanistan,AFG,country,Afghanistan,26.1,46.2,77,2005,pm25,PM25,Country,µg/m3
12395,country,Afghanistan,AFG,country,Afghanistan,32.5,51.8,77.9,2010,pm25,PM25,Country,µg/m3
12396,country,Afghanistan,AFG,country,Afghanistan,35.6,56.2,83.5,2011,pm25,PM25,Country,µg/m3
12397,country,Afghanistan,AFG,country,Afghanistan,34.9,54.7,81.4,2012,pm25,PM25,Country,µg/m3
12398,country,Afghanistan,AFG,country,Afghanistan,37.4,58.8,88.4,2013,pm25,PM25,Country,µg/m3
12399,country,Afghanistan,AFG,country,Afghanistan,39.1,61.9,91.3,2014,pm25,PM25,Country,µg/m3
12400,country,Afghanistan,AFG,country,Afghanistan,38.6,60.6,90.3,2015,pm25,PM25,Country,µg/m3
12401,country,Afghanistan,AFG,country,Afghanistan,36.1,57.2,84.9,2016,pm25,PM25,Country,µg/m3
12402,country,Afghanistan,AFG,country,Afghanistan,33.8,53.4,79.9,2017,pm25,PM25,Country,µg/m3
12403,country,Afghanistan,AFG,country,Afghanistan,33.5,52.8,78.8,2018,pm25,PM25,Country,µg/m3
12404,country,Afghanistan,AFG,country,Afghanistan,33.3,52.4,78,2019,pm25,PM25,Country,µg/m3
,,,,,,,,,,,,,
,citation,Health Effects Institute. 2020. State of Global Air 2020. www.stateofglobalair.org [accessed: 2/18/2021]. Data source: Global Burden of Disease Study 2019.,,,,,,,,,,,